#Jain, projeto de experimentos, tabela 22.10
carga proc tempo
B1    A1    3200
B1    A1    3150
B1    A1    3250
B1    A2    5120
B1    A2    5100 
B1    A2    5140
B1    A3    8960
B1    A3    8900
B1    A3    8840
B2    A1    4700
B2    A1    4740
B2    A1    4660
B2    A2    9400
B2    A2    9300
B2    A2    9500
B2    A3   19740
B2    A3   19790
B2    A3   19690
B3    A1    3200
B3    A1    3220
B3    A1    3180
B3    A2    4160
B3    A2    4100
B3    A2    4220
B3    A3    7360
B3    A3    7300
B3    A3    7420
B4    A1    5100
B4    A1    5200
B4    A1    5000
B4    A2    5610
B4    A2    5575
B4    A2    5645
B4    A3   22340
B4    A3   22440
B4    A3   22540
B5    A1    6800
B5    A1    6765
B5    A1    6835
B5    A2   12240
B5    A2   12290
B5    A2   12190
B5    A3   28560
B5    A3   28360
