insertion  selection
4.39362  2.70616
4.05846  2.66148
4.01542  2.65636
3.96561  2.58080
4.07196  2.63396
4.08677  2.65573
4.05231  2.64999
4.05647  2.71291
4.09049  2.65716
4.15334  2.74499
4.05445  2.61673
4.09917  2.71576
4.06000  2.62283
4.11668  2.61835
4.06050  2.64508
4.07682  2.73884
4.09372  2.74185
4.10115  2.73138
4.07613  2.72601
4.03913  2.62221
4.05783  2.70091
4.14286  2.68450
4.10395  2.70953
4.04565  2.71804
4.07883  2.71193
4.09059  2.69395
4.12442  2.67482
4.17840  2.71209
4.15120  2.68241
4.09357  2.76477
4.15036  2.77668
4.21350  2.85118
4.15916  2.70155
4.12836  2.75943
4.18542  2.75544
4.18673  2.70740
4.18939  2.69665
4.13662  2.70001
4.15992  2.76811
4.15165  2.78784
4.13237  2.77068
4.14923  2.78581
4.15176  2.79499
4.21252  2.79600
4.12763  2.67635
4.21183  2.77937
4.30908  2.77722
4.28487  2.80845
4.28450  2.83004
4.19088  2.81342
4.20960  2.70758
4.17851  2.68688
4.16903  2.70847
4.14307  2.79608
4.18782  2.79471
4.15085  2.71584
4.20018  2.80943
4.24349  2.85966
4.14527  2.69950
4.21670  2.81148
4.20100  2.70725
4.19241  2.78039
4.18847  2.68002
4.12040  2.71377
4.27560  2.85456
4.19105  2.70934
4.08416  2.62892
4.08564  2.63275
4.06756  2.70356
4.08472  2.65442
4.10511  2.69838
4.06459  2.68611
4.09852  2.73319
4.27170  2.71442
4.16548  2.78120
4.02740  2.68575
4.08626  2.65538
4.04464  2.65217
4.03295  2.69641
4.01497  2.65082
4.07087  2.65087
4.13176  2.71646
4.12495  2.71920
4.09292  2.73803
4.12324  2.72051
4.08631  2.65805
4.05312  2.68299
4.12360  2.73574
4.14564  2.72673
4.14243  2.71821
4.06554  2.63341
4.15136  2.59237
4.01114  2.63396
4.07830  2.69002
4.12547  2.63965
4.15364  2.72372
4.12348  2.73185
4.30838  2.74743
4.06254  2.68238
4.12592  2.83631
